Date,NDX,ADBE,AMD,ABNB,GOOGL,AMZN,AEP,AMGN,ADI,ANSS,AAPL,AMAT,ARM,ASML,AZN,TEAM,ADSK,ADP,BKR,BIIB,BKNG,AVGO,CDNS,CDW,CHTR,CTAS,CSCO,CCEP,CTSH,CMCSA,CEG,CPRT,CSGP,COST,CRWD,CSX,DDOG,DXCM,FANG,DLTR,DASH,EA,EXC,FAST,FTNT,GEHC,GILD,GFS,HON,IDXX,ILMN,INTC,INTU,ISRG,KDP,KLAC,KHC,LRCX,LIN,LULU,MAR,MRVL,MELI,META,MCHP,MU,MSFT,MRNA,MDLZ,MDB,MNST,NFLX,NVDA,NXPI,ORLY,ODFL,ON,PCAR,PANW,PAYX,PYPL,PDD,PEP,QCOM,REGN,ROP,ROST,SBUX,SMCI,SNPS,TTWO,TMUS,TSLA,TXN,TTD,VRSK,VRTX,WBD,WDAY,XEL,ZS
2023-01-03,10862.6396484375,336.9200134277344,64.0199966430664,84.9000015258789,88.89987182617188,85.81999969482422,88.44329071044922,247.43101501464844,157.41879272460938,238.63999938964844,123.90463256835938,95.32270812988281,,541.0913696289062,66.45645904541016,126.5,185.14999389648438,228.56446838378906,27.508853912353516,272.6300048828125,2017.6884765625,53.540184020996094,159.63999938964844,175.96348571777344,341.5799865722656,107.98114776611328,45.04787826538086,52.10990905761719,55.91980743408203,33.807647705078125,80.49238586425781,30.729999542236328,77.6500015258789,437.8975524902344,103.27999877929688,30.132619857788086,72.08999633789062,114.7300033569336,119.76799011230469,140.25999450683594,48.36000061035156,121.55099487304688,40.39479064941406,45.13497543334961,48.52000045776367,55.87014389038086,79.65039825439453,51.70000076293945,206.29714965820312,406.010009765625,195.39883422851562,25.775146484375,386.0395812988281,265.6300048828125,33.79277038574219,369.780517578125,37.69187545776367,38.96807098388672,311.1637268066406,323.3800048828125,145.093505859375,35.70384216308594,826.1099853515625,124.36554718017578,66.71572875976562,49.87538528442383,236.18353271484375,178.99000549316406,63.55087661743164,190.75,50.65999984741211,294.95001220703125,14.305581092834473,150.00535583496094,840.719970703125,140.08291625976562,61.61000061035156,62.11516189575195,138.4499969482422,109.79105377197266,74.58000183105469,84.52999877929688,170.43064880371094,102.92283630371094,720.469970703125,429.4891662597656,113.62097930908203,96.84288024902344,8.38599967956543,319.67999267578125,103.11000061035156,136.91502380371094,108.0999984741211,154.8736572265625,44.02000045776367,175.4352569580078,286.0199890136719,9.539999961853027,169.35000610351562,65.78597259521484,110.19000244140625
2023-01-04,10914.7998046875,341.4100036621094,64.66000366210938,88.72000122070312,87.86243438720703,85.13999938964844,89.04924774169922,250.0221405029297,160.7716522216797,242.94000244140625,125.18260955810547,97.86518859863281,,562.0233764648438,66.6194076538086,126.4000015258789,187.9600067138672,229.6416015625,26.68597984313965,270.80999755859375,2095.359375,54.19409942626953,159.22999572753906,177.57106018066406,354.0,106.74017333984375,45.03841018676758,53.35609436035156,56.37617874145508,34.7771110534668,81.96642303466797,30.989999771118164,78.0,441.06622314453125,104.36499786376953,30.5229434967041,68.95999908447266,114.33000183105469,119.07514190673828,140.52000427246094,48.93000030517578,123.73851013183594,40.92826461791992,45.67771911621094,48.29999923706055,60.34973907470703,79.75300598144531,52.90999984741211,202.19622802734375,422.42999267578125,197.09144592285156,26.69120979309082,386.4245300292969,270.0,34.06843185424805,373.3944091796875,38.117042541503906,39.7355842590332,309.619384765625,320.9800109863281,147.16555786132812,36.31890869140625,837.4400024414062,126.98765563964844,68.34741973876953,53.66777420043945,225.85208129882812,177.36000061035156,64.0113296508789,187.2100067138672,51.07500076293945,309.4100036621094,14.739295959472656,152.8206329345703,826.739990234375,143.1918182373047,62.20000076293945,61.976341247558594,138.5399932861328,110.98556518554688,77.69000244140625,91.05999755859375,170.01266479492188,107.0800552368164,726.489990234375,437.6744079589844,115.72016906738281,100.32933807373047,8.225000381469727,320.92999267578125,106.7699966430664,137.82098388671875,113.63999938964844,160.52923583984375,44.310001373291016,178.31399536132812,286.8299865722656,10.380000114440918,171.22000122070312,66.34927368164062,111.58999633789062
2023-01-05,10741.2197265625,328.44000244140625,62.33000183105469,87.70999908447266,85.9870834350586,83.12000274658203,87.4271240234375,252.35787963867188,154.74429321289062,231.64999389648438,123.8551025390625,96.49539947509766,,556.5982666015625,66.91655731201172,119.97000122070312,182.07000732421875,224.68870544433594,27.55669403076172,271.5899963378906,2129.61279296875,53.68915557861328,156.8000030517578,174.54212951660156,361.42999267578125,104.26304626464844,44.4037971496582,53.60533142089844,55.900394439697266,35.14778518676758,80.9837417602539,30.274999618530273,74.9000015258789,434.9123840332031,94.88999938964844,30.161897659301758,63.5,111.69000244140625,122.19287872314453,142.55999755859375,47.130001068115234,123.411865234375,40.03913116455078,44.0875244140625,47.45000076293945,58.86319351196289,80.07948303222656,51.02000045776367,196.83425903320312,419.20001220703125,195.67120361328125,26.575498580932617,370.68408203125,268.6199951171875,33.7338752746582,366.75592041015625,38.20022964477539,39.2276725769043,298.5940246582031,325.92999267578125,146.20318603515625,34.460731506347656,856.0900268554688,126.55895233154297,66.71572875976562,54.172767639160156,219.1583709716797,173.50999450683594,63.493324279785156,172.17999267578125,50.189998626708984,309.70001220703125,14.255615234375,148.5154266357422,834.2899780273438,139.56729125976562,59.7400016784668,61.70497512817383,135.11000061035156,108.41641235351562,76.2699966430664,95.43000030517578,168.23626708984375,105.03504943847656,723.760009765625,430.93243408203125,116.14197540283203,100.30052947998047,8.024999618530273,315.0400085449219,105.95999908447266,142.2718963623047,110.33999633789062,158.4036407470703,42.59000015258789,175.73202514648438,287.8900146484375,10.859999656677246,160.19000244140625,65.00670623779297,104.38999938964844
2023-01-06,11040.349609375,332.75,63.959999084472656,88.5199966430664,87.12425994873047,86.08000183105469,89.99082946777344,260.2446594238281,160.3937225341797,239.41000366210938,128.41224670410156,102.75301361083984,,586.6572265625,67.86552429199219,121.27999877929688,187.19000244140625,230.9687957763672,28.666616439819336,279.25,2163.677734375,56.92102813720703,159.66000366210938,179.60018920898438,367.7300109863281,106.28565216064453,45.76774215698242,54.47766876220703,58.01716995239258,36.0126953125,82.05485534667969,31.19499969482422,77.12000274658203,466.4833679199219,94.72000122070312,31.420677185058594,64.13999938964844,115.81999969482422,125.93051147460938,145.8300018310547,48.0,122.6299057006836,40.87211227416992,45.334922790527344,48.689998626708984,58.81331253051758,82.15959167480469,52.75,202.41766357421875,447.7699890136719,196.37159729003906,27.703699111938477,381.4408264160156,270.3900146484375,34.661094665527344,390.4422607421875,39.36480712890625,41.881038665771484,309.023193359375,329.260009765625,150.62229919433594,35.87174987792969,873.469970703125,129.62969970703125,70.25910186767578,56.21254348754883,221.7412109375,180.35000610351562,65.24876403808594,169.82000732421875,51.21500015258789,315.54998779296875,14.849223136901855,154.43634033203125,842.52001953125,149.09718322753906,62.470001220703125,63.307861328125,134.85000610351562,111.34581756591797,76.4800033569336,95.95999908447266,172.0360565185547,110.73805236816406,737.1500244140625,439.28204345703125,119.25150299072266,102.47115325927734,8.439000129699707,320.5400085449219,104.75,146.29940795898438,113.05999755859375,166.21328735351562,42.290000915527344,180.91575622558594,290.2099914550781,11.319999694824219,161.13999938964844,66.9313735961914,103.95999908447266
2023-01-09,11108.4501953125,341.9800109863281,67.23999786376953,89.23999786376953,87.80258178710938,87.36000061035156,91.31465148925781,255.44078063964844,161.92477416992188,247.99000549316406,128.93728637695312,104.94071960449219,,611.744140625,67.96138763427734,127.16999816894531,192.47000122070312,230.34364318847656,29.221580505371094,274.7200012207031,2192.62939453125,55.80472183227539,165.9199981689453,180.3255615234375,367.17999267578125,106.1341323852539,46.01400375366211,54.04629135131836,59.094974517822266,35.68954086303711,82.54621124267578,31.219999313354492,77.08000183105469,462.5031433105469,96.56999969482422,31.36212921142578,65.94000244140625,110.05999755859375,128.98443603515625,143.97000122070312,48.04999923706055,122.90705108642578,41.32136154174805,45.65868377685547,49.40999984741211,57.965274810791016,79.37989044189453,55.380001068115234,202.80271911621094,448.0799865722656,201.66342163085938,28.262981414794922,390.9338684082031,264.92999267578125,34.44123458862305,400.98919677734375,39.00434112548828,42.55449676513672,314.6531677246094,298.6600036621094,149.78756713867188,36.686561584472656,897.3099975585938,129.08135986328125,71.25355529785156,55.80656433105469,223.90016174316406,183.9499969482422,64.50054168701172,178.07000732421875,50.57500076293945,315.1700134277344,15.617717742919922,155.73269653320312,828.7100219726562,151.90855407714844,64.6500015258789,62.9734001159668,135.0800018310547,111.30789947509766,77.08000183105469,95.5199966430664,170.3546600341797,110.03717803955078,680.489990234375,439.0246276855469,116.4656753540039,100.5982666015625,8.47700023651123,325.95001220703125,105.0999984741211,146.496337890625,119.7699966430664,167.6556396484375,43.9900016784668,180.0946502685547,283.2300109863281,11.609999656677246,162.92999267578125,67.57918548583984,104.75
2023-01-10,11205.7802734375,338.70001220703125,68.05000305175781,88.54000091552734,88.20159149169922,89.87000274658203,90.69003295898438,258.99639892578125,163.9791259765625,248.39999389648438,129.51187133789062,106.46817016601562,,623.6181640625,68.63236236572266,132.16000366210938,193.42999267578125,231.5650634765625,29.53733253479004,281.4599914550781,2205.079833984375,55.6151237487793,164.32000732421875,182.69775390625,374.6400146484375,107.01435089111328,46.23185348510742,53.68202590942383,59.43482208251953,36.00319290161133,81.64213562011719,30.809999465942383,77.83000183105469,465.0632629394531,95.66999816894531,31.6158390045166,66.7699966430664,110.87999725341797,129.4037322998047,145.8800048828125,48.040000915527344,122.75857543945312,40.890830993652344,46.182395935058594,48.41999816894531,59.860870361328125,81.28276824951172,55.40999984741211,203.44769287109375,469.1099853515625,189.15370178222656,28.38833999633789,384.34808349609375,271.3599853515625,34.11622619628906,408.7865295410156,39.1245002746582,43.13576889038086,314.7606506347656,309.4800109863281,150.40623474121094,36.775997161865234,915.780029296875,132.59078979492188,72.84661865234375,56.64822006225586,225.60565185546875,189.64999389648438,64.56768035888672,182.08999633789062,50.26499938964844,327.5400085449219,15.898533821105957,160.66677856445312,826.8800048828125,152.02259826660156,64.2699966430664,63.41514587402344,134.19000244140625,111.21309661865234,77.91999816894531,94.08999633789062,168.94874572753906,112.24540710449219,698.9500122070312,439.0741271972656,117.50545501708984,101.80844116210938,7.836999893188477,327.6300048828125,105.52999877929688,147.27426147460938,118.8499984741211,169.28778076171875,44.84000015258789,181.56866455078125,288.75,12.5600004196167,160.2100067138672,67.70124053955078,104.97000122070312
2023-01-11,11402.51953125,342.92999267578125,69.05999755859375,94.44000244140625,91.29393768310547,95.08999633789062,91.01631164550781,258.0791015625,164.5314483642578,252.16000366210938,132.24615478515625,108.45877075195312,,634.7340087890625,67.53002166748047,141.77999877929688,199.92999267578125,235.67166137695312,29.499059677124023,285.0299987792969,2208.912353515625,55.92564010620117,168.47000122070312,186.8147430419922,378.42999267578125,109.17640686035156,46.6107292175293,53.71078109741211,59.71641540527344,36.06972122192383,82.65431213378906,31.18000030517578,80.75,467.87451171875,97.0,31.66462516784668,69.02999877929688,106.16000366210938,129.6681365966797,147.94000244140625,51.79999923706055,124.82732391357422,41.3120002746582,46.753726959228516,48.79999923706055,64.83929443359375,81.32941436767578,57.06999969482422,204.371826171875,463.0199890136719,198.49221801757812,28.78369140625,390.90423583984375,259.9599914550781,34.19270324707031,411.61474609375,39.33708190917969,43.67095184326172,322.17926025390625,311.9599914550781,155.6207733154297,38.17707824707031,936.7999877929688,132.4910888671875,72.79835510253906,57.489871978759766,232.42755126953125,186.63999938964844,64.81709289550781,188.82000732421875,50.845001220703125,327.260009765625,15.990470886230469,163.240234375,825.5,155.23561096191406,64.62999725341797,63.77485656738281,136.7100067138672,113.45991516113281,78.54000091552734,93.0199966430664,169.13873291015625,113.6663589477539,709.9400024414062,447.6385803222656,117.26022338867188,102.09658813476562,7.560999870300293,334.3500061035156,105.26000213623047,146.52587890625,123.22000122070312,169.73377990722656,47.310001373291016,184.4672088623047,292.25,12.600000381469727,163.9199981689453,68.33028411865234,108.05000305175781
2023-01-12,11459.6103515625,344.5400085449219,70.80000305175781,98.48999786376953,90.90489959716797,95.2699966430664,89.87897491455078,256.197265625,163.44615173339844,251.97000122070312,132.16690063476562,108.59673309326172,,642.4923706054688,67.17537689208984,146.47999572753906,199.9600067138672,234.911865234375,30.140134811401367,288.0799865722656,2240.643798828125,56.29323196411133,168.05999755859375,189.56924438476562,385.4700012207031,107.31737518310547,46.41181945800781,53.7682991027832,63.21200942993164,36.77305603027344,82.88032531738281,31.280000686645508,80.31999969482422,466.0582580566406,97.9800033569336,31.70366096496582,69.20999908447266,107.13999938964844,132.48500061035156,146.6199951171875,52.029998779296875,125.13417053222656,40.60069274902344,46.677555084228516,48.400001525878906,65.49777221679688,79.95822143554688,58.290000915527344,207.91439819335938,469.7099914550781,188.47276306152344,29.207975387573242,392.2787170410156,256.94000244140625,34.001522064208984,411.5361328125,39.2169303894043,44.210845947265625,321.4853210449219,314.989990234375,157.1134490966797,39.061458587646484,1024.31005859375,136.2996063232422,72.64388275146484,56.70763397216797,235.12867736816406,188.05999755859375,64.04010772705078,190.61000061035156,50.02000045776367,330.1300048828125,16.50013542175293,164.6720733642578,810.8499755859375,155.31988525390625,64.93000030517578,63.983097076416016,136.60000610351562,113.62107849121094,79.77999877929688,93.45999908447266,166.98231506347656,116.73868560791016,714.5700073242188,446.7673645019531,116.48529052734375,101.66436767578125,8.045000076293945,333.1000061035156,104.29000091552734,147.61892700195312,123.55999755859375,169.0316162109375,46.70000076293945,180.9949188232422,296.25,13.149999618530273,163.58999633789062,67.55101776123047,104.66000366210938
2023-01-13,11541.48046875,344.3800048828125,71.0,100.37000274658203,91.89246368408203,98.12000274658203,88.41532135009766,256.9632263183594,163.74655151367188,254.10000610351562,133.5043487548828,108.37008666992188,,649.5123901367188,68.13392639160156,148.0,200.58999633789062,235.96978759765625,30.264522552490234,288.0400085449219,2284.895263671875,56.00883102416992,169.25999450683594,191.0004119873047,388.4700012207031,107.96432495117188,46.29815673828125,53.960018157958984,62.20216751098633,37.00116729736328,83.68614196777344,31.40999984741211,81.05000305175781,468.7826232910156,99.52999877929688,31.635351181030273,70.47000122070312,108.47000122070312,132.4029998779297,147.25999450683594,52.34000015258789,124.18392944335938,40.60069274902344,46.48710632324219,48.869998931884766,65.28826141357422,80.47125244140625,59.13999938964844,208.5208740234375,479.0799865722656,195.63229370117188,29.034406661987305,388.82763671875,258.8999938964844,34.11622619628906,412.4887390136719,39.20768356323242,44.552276611328125,326.56793212890625,315.4700012207031,158.8712615966797,40.4128532409668,1082.9200439453125,136.56881713867188,72.33491516113281,56.3709716796875,235.83848571777344,192.0,64.327880859375,197.52999877929688,51.040000915527344,332.82000732421875,16.887880325317383,166.2296905517578,815.469970703125,156.36117553710938,65.1500015258789,64.79084777832031,138.86000061035156,114.05717468261719,79.4800033569336,97.0,166.4693603515625,115.44255065917969,722.1300048828125,446.5197448730469,117.72126770019531,102.98980712890625,8.057999610900879,332.9700012207031,105.02999877929688,147.39242553710938,122.4000015258789,169.86663818359375,47.029998779296875,181.97425842285156,300.94000244140625,13.140000343322754,167.14999389648438,66.81871795654297,107.30000305175781
2023-01-17,11557.1904296875,344.3800048828125,71.58999633789062,101.2699966430664,91.06451416015625,96.05000305175781,88.43396759033203,254.7787628173828,161.7406463623047,252.67999267578125,134.67335510253906,107.8182373046875,,648.0354614257812,67.8080062866211,152.91000366210938,200.6999969482422,227.71815490722656,30.12099838256836,289.5899963378906,2317.341796875,56.032047271728516,172.97000122070312,193.71568298339844,388.3500061035156,106.99271392822266,45.5404167175293,54.75566101074219,61.134071350097656,37.01066970825195,81.92711639404297,31.549999237060547,79.62000274658203,470.2510070800781,104.43000030517578,31.810993194580078,73.05999755859375,109.51000213623047,132.8496551513672,147.72999572753906,54.470001220703125,122.44183349609375,40.39479064941406,45.9157829284668,50.099998474121094,63.18315124511719,79.66905975341797,59.040000915527344,204.31407165527344,480.19000244140625,200.81712341308594,28.54262351989746,385.8511962890625,261.7300109863281,34.15446472167969,408.47222900390625,39.1245002746582,44.30019760131836,322.5507507324219,323.82000732421875,158.09547424316406,40.77057647705078,1070.0,134.95367431640625,71.91975402832031,56.291751861572266,236.94261169433594,190.69000244140625,64.28950500488281,202.83999633789062,51.084999084472656,326.2200012207031,17.690351486206055,164.78817749023438,809.739990234375,155.97935485839844,65.87000274658203,64.1219253540039,142.0,112.2654037475586,80.18000030517578,94.8499984741211,167.2483367919922,115.48095703125,728.1099853515625,440.6583251953125,117.47602844238281,102.52879333496094,8.482999801635742,337.29998779296875,104.54000091552734,144.7336883544922,131.49000549316406,166.44102478027344,47.06999969482422,179.6198272705078,311.9800109863281,13.229999542236328,166.69000244140625,66.74359893798828,113.51000213623047
